Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
1075 Nelson by Henson Developments,1075 Nelson Street,,,Henson Developments Ltd.,,,,Passive House Building,,,50 metres from Nelson Park,,8 levels of underground parking,,
1111 Seymour Residences - Yaletown Boutique Presale,Yaletown,,,Wall Financial,,,,,,,,,,,
1157 Burrard in Downtown Vancouver,1157 Burrard St,,Condo,Prima Properties Ltd.,236 market condominiums,,47,37-space public childcare,,,Nelson Park,Walking distance to Downtown & Robson Street shopping,265 vehicle parking stalls,,
1220-1298 East Hastings by The Onni Group,East Hastings & Clark Drive,,,The Onni Group,,,,,,Amenity deck with views of North Shore Mountains,,"Close to Gourmet Warehouse & Fujiya Japanese Foods, near numerous Yeast Van craft breweries, 10-minute walk to Chinatown restaurants & shops",Shared 3 level underground parking,,
123-145 E 13th Street in the heart of North Vancouver,123-145 E 13th Street,,Condo and Townhouse,Millennium Development Group,162,,18- & 7-,centrally located in North Vancouver Business District,,spectacular mountain or ocean views,Victoria Park,"Club 16 Trevor Linden Fitness, Loblaws City Market, Liberty Wine Merchants, Scotiabank, TD Canada Trust, 7-Eleven and more",279,,
1236 East 7th | East Vancouver,East 7th Ave,,Townhouse,Cornerstone Architecture,15,,,Passive House standards,"2 & 3 BED stacked townhomes, ranging from 1,058 – 1,621 sf",North Shore Mountains,"Trout Lake Park, China Creek North Park, China Creek South Park, Clark Park","False Creek Flats schools & tech hub; Vancouver Community College; Commercial Drive cafés, restaurants, shops & conveniences",1 level of underground parking,,
1335 Howe by Onni In Vancouver Downtown,"1335 Howe St, Vancouver, BC V6Z 1R7",,Condos,Onni,120,Concrete,40,,,"English bay, False Creek",,,430,,
1488 Alberni,1488 Alberni Street,,1-4 bedroom condominium units,Landa Global Properties,443,,43 and 48,562 bicycle parking spaces,,"Stanley Park, Pacific Ocean, Downtown Skyline, North Shore Mountains, Burrard Inlet",Stanley Park,"Beaches, the Seawall, transit and entertainment",484,,
1555 Robson in Vancouver's West End,1555 Robson St,,Condo,VivaGrand Developments,153,,28,Designed by IBI Group Architects,,,Walking distance to Coal Harbour & Stanley Park,Numerous neighbourhood restaurants & shops,153 vehicle parking spaces,,
1555 West Eighth - Concrete Construction Set for South Granville,1555 W 8th Avenue,,2- and 3-bedrooms,Kenstone Properties,20 units,Concrete Construction,An 8 and a 4 storey building,Minimalist design by OMB (Office Of McFarlane Biggar),"Brushed oak wide plank engineered flooring, 8'6"" ceilings, oversized bathrooms, and ultra-efficient heating and cooling","Downtown, Burrard Inlet","6th and Fir Park, Arbutus Greenway, Granville Loop Park","Dining, Shopping, Fitness Centre, Bike Shop, Spin Studio, Cinemas, Granville Island",,,
1684 Alberni by Westbank in Downtown Vancouver,1684 Alberni St,,Condo,Westbank,94,,39,close to Coal Harbour,,,short walk to outstanding Stanley Park,steps from numerous restaurants on Robson & Denman streets,180 vehicle parking,,
1698 West Georgia,1698 West Georgia,,Condo & Townhouse,Anthem Properties,122 condominiums & 5 townhomes,,33-storey residential tower,Short walk to outstanding Stanley Park amenities,,,Stanley Park,Steps from numerous restaurants on Robson & Denman streets; 2 blocks from Safeway grocery shopping,335 bike stalls and 213 vehicle parking spaces,,
16th & Cambie in Vancouver West,West 16 & Cambie,,Condo,Wesgroup Properties,47,,6,Ground floor retail space,"Residences ranging in size from 380-1,136 sf",City,"Mt Pleasant Park, Heather Park","Close to Douglas Park Community Centre & steps to Cambie Village cafes, shops, restaurants",Underground parking,,
